,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Single Family Residential,582 Saint George Dr,SALINAS,CA,93905.0,759000.0,4.0,2.5,SALINAS,2114.0,16117.0,2011.0,1.0,359.0,,Active,November-3-2021 01:00 PM,November-3-2021 05:00 PM,http://www.redfin.com/CA/Salinas/582-St-George-Dr-93905/home/44507844,MLSListings,ML81867496,N,Y,36.6842184,-121.6260592
1,MLS Listing,,Single Family Residential,646 Andalucia Dr,SOLEDAD,CA,93960.0,535000.0,4.0,2.0,SOLEDAD,1216.0,6112.0,1989.0,1.0,440.0,,Active,,,http://www.redfin.com/CA/Soledad/646-Andalucia-Dr-93960/home/14920113,MLSListings,ML81868893,N,Y,36.432923,-121.3215248
2,MLS Listing,,Vacant Land,23507 Belmont Cir,SALINAS,CA,93908.0,649000.0,,,SALINAS,,113256.0,,1.0,,250.0,Active,,,http://www.redfin.com/CA/Salinas/23507-Belmont-Cir-93908/home/17495155,MLSListings,ML81868888,N,Y,36.586547,-121.627605
3,MLS Listing,,Single Family Residential,232 17th St,PACIFIC GROVE,CA,93950.0,1899000.0,4.0,2.5,PACIFIC GROVE,2259.0,1800.0,1890.0,1.0,841.0,,Active,November-6-2021 11:00 AM,November-6-2021 02:00 PM,http://www.redfin.com/CA/Pacific-Grove/232-17th-St-93950/home/57311740,MLSListings,ML81868869,N,Y,36.6202485,-121.9195622
4,MLS Listing,,Single Family Residential,17731 Reynolds St,EAST GARRISON,CA,93933.0,849900.0,3.0,3.0,EAST GARRISON,1865.0,3169.0,2016.0,1.0,456.0,125.0,Active,November-3-2021 11:00 AM,November-3-2021 01:00 PM,http://www.redfin.com/CA/Marina/17731-Reynolds-St-93933/home/109244469,MLSListings,ML81868860,N,Y,36.6520146,-121.734648
5,MLS Listing,,Single Family Residential,9921 Equestrian Pl,SALINAS,CA,93907.0,925000.0,3.0,2.0,SALINAS,2509.0,148104.0,1989.0,1.0,369.0,62.0,Active,November-6-2021 11:00 AM,November-6-2021 01:30 PM,http://www.redfin.com/CA/Salinas/9921-Equestrian-Pl-93907/home/14904173,MLSListings,ML81867159,N,Y,36.7710686,-121.6806194
6,MLS Listing,,Single Family Residential,341 San Juan Dr,SALINAS,CA,93901.0,789900.0,4.0,2.0,SALINAS,1810.0,7900.0,1958.0,1.0,436.0,,Active,,,http://www.redfin.com/CA/Salinas/341-San-Juan-Dr-93901/home/14923715,MLSListings,ML81868849,N,Y,36.6552112,-121.6515045
7,MLS Listing,,Single Family Residential,3680 Via Mar Monte,CARMEL,CA,93923.0,3995000.0,4.0,5.0,CARMEL,4136.0,43124.0,1990.0,1.0,966.0,,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Carmel-By-The-Sea/3680-Via-Mar-Monte-93923/home/14910096,MLSListings,ML81868823,N,Y,36.5688116,-121.9088863
8,MLS Listing,,Condo/Co-op,25 Skyline Crst,MONTEREY,CA,93940.0,979000.0,3.0,2.0,MONTEREY,2040.0,1882.0,1968.0,1.0,480.0,695.0,Active,November-6-2021 10:00 AM,November-6-2021 01:00 PM,http://www.redfin.com/CA/Monterey/25-Skyline-Crst-93940/home/14926529,MLSListings,ML81868808,N,Y,36.5926086,-121.9200884
9,MLS Listing,,Single Family Residential,3 El Paso Pl,SALINAS,CA,93901.0,895888.0,3.0,1.5,SALINAS,2383.0,7841.0,1935.0,1.0,376.0,,Active,November-6-2021 11:00 AM,November-6-2021 01:00 PM,http://www.redfin.com/CA/Salinas/3-El-Paso-Pl-93901/home/14873179,MLSListings,ML81868805,N,Y,36.6636745,-121.6491256
10,MLS Listing,,Single Family Residential,330 Morse Ct,MARINA,CA,93933.0,825000.0,4.0,2.5,MARINA,1860.0,6534.0,1990.0,1.0,444.0,,Active,November-6-2021 01:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/CA/Marina/330-Morse-Ct-93933/home/14913362,MLSListings,ML81868798,N,Y,36.6788243,-121.794444
11,MLS Listing,,Single Family Residential,1281 Sylvan Rd,MONTEREY,CA,93940.0,1150000.0,3.0,2.0,MONTEREY,1672.0,21344.0,1971.0,1.0,688.0,,Active,November-3-2021 09:30 AM,November-3-2021 12:00 PM,http://www.redfin.com/CA/Monterey/1281-Sylvan-Rd-93940/home/14911264,MLSListings,ML81867311,N,Y,36.5808041,-121.8677131
12,MLS Listing,,Single Family Residential,25974 Mission St,CARMEL,CA,93923.0,2750000.0,2.0,2.0,CARMEL,1388.0,3920.0,2005.0,1.0,1981.0,,Active,November-7-2021 01:00 PM,November-7-2021 03:00 PM,http://www.redfin.com/CA/Carmel-By-The-Sea/25974-Mission-St-93923/home/14936127,MLSListings,ML81868788,N,Y,36.5468937,-121.9212885
13,MLS Listing,,Single Family Residential,26335 Rio Ave,CARMEL,CA,93923.0,3100000.0,3.0,2.5,CARMEL,1489.0,4000.0,1937.0,1.0,2082.0,,Active,November-7-2021 01:00 PM,November-7-2021 03:00 PM,http://www.redfin.com/CA/Carmel-By-The-Sea/26335-Rio-Ave-93923/home/14937371,MLSListings,ML81868787,N,Y,36.5415529,-121.9288893
14,MLS Listing,,Condo/Co-op,74 Spanish Bay,PEBBLE BEACH,CA,93953.0,5100000.0,3.0,3.5,PEBBLE BEACH,3467.0,1889.0,1990.0,1.0,1471.0,1420.0,Active,,,http://www.redfin.com/CA/Pebble-Beach/74-Spanish-Bay-Cir-93953/home/14943462,MLSListings,ML81865151,N,Y,36.613929,-121.938589
15,MLS Listing,,Single Family Residential,26 Cramden Dr,MONTEREY,CA,93940.0,1895000.0,4.0,3.5,MONTEREY,3384.0,10890.0,1990.0,1.0,560.0,18.0,Active,November-6-2021 01:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/CA/Monterey/26-Cramden-Dr-93940/home/14961291,MLSListings,ML81868763,N,Y,36.5954305,-121.9125315
16,MLS Listing,,Single Family Residential,44 Nacional Ave,SPRECKELS,CA,93962.0,849000.0,3.0,3.0,SPRECKELS,1644.0,7841.0,2008.0,1.0,516.0,,Active,,,http://www.redfin.com/CA/SPRECKELS/44-NACIONAL-AVE-93962/home/21964680,MLSListings,ML81868758,N,Y,36.625152,-121.649782
17,MLS Listing,,Single Family Residential,9445 Valley Oak Way,SALINAS,CA,93907.0,750000.0,3.0,2.0,SALINAS,1612.0,16000.0,1968.0,1.0,465.0,,Active,,,http://www.redfin.com/CA/Salinas/9445-Valley-Oak-Way-93907/home/14904088,MLSListings,ML81868751,N,Y,36.7799525,-121.7058096
18,MLS Listing,,Single Family Residential,30 Florence Pl,SALINAS,CA,93905.0,525000.0,2.0,1.0,SALINAS,922.0,6100.0,1952.0,1.0,569.0,,Active,,,http://www.redfin.com/CA/Salinas/30-Florence-Pl-93905/home/14953741,MLSListings,ML81868750,N,Y,36.6669,-121.6224491
19,MLS Listing,,Single Family Residential,1018 Waring St,SEASIDE,CA,93955.0,799500.0,4.0,2.0,SEASIDE,1637.0,6300.0,1956.0,2.0,488.0,,Active,November-6-2021 02:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Seaside/1018-Waring-St-93955/home/14931493,MLSListings,ML81868736,N,Y,36.5973442,-121.8351328
20,MLS Listing,,Vacant Land,0 Martinez Rd,Lockwood,CA,93426.0,350000.0,,,Lockwood,,5270760.0,,3.0,,,Active,,,http://www.redfin.com/CA/Lockwood/48625-Martinez-Rd-93932/home/177011637,CRMLS,NS21237157,N,Y,35.969978,-121.098592
21,MLS Listing,,Single Family Residential,1035 Ortega Rd,PEBBLE BEACH,CA,93953.0,3400000.0,5.0,3.0,PEBBLE BEACH,3352.0,12000.0,1973.0,3.0,1014.0,,Active,,,http://www.redfin.com/CA/Pebble-Beach/1035-Ortega-Rd-93953/home/14942799,MLSListings,ML81868686,N,Y,36.6058919,-121.9399783
22,MLS Listing,,Single Family Residential,1326 Ramona Ave,SALINAS,CA,93906.0,594500.0,4.0,2.0,SALINAS,1215.0,5900.0,1955.0,3.0,489.0,,Active,,,http://www.redfin.com/CA/Salinas/1326-Ramona-Ave-93906/home/14954069,MLSListings,ML81868676,N,Y,36.6993909,-121.6366658
